sCode,noPeriode,sDescription
CH-SK,188,LUN À VEN 9 h - 14 h 30 18 h 30 - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-SR,114,LUN À VEN 17 h - 21 h  ET DIM 13 h - 18 h
CH-SR,125,LUN À VEN 17 h - 21 h  ET DIM 13 h - 18 h
CH-ST,28,LUN À VEN 15 h - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-ST,125,LUN À VEN 15 h - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-ST,236,LUN À VEN 15 h - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-SU,28,LUN À VEN 18 h 30 - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-SU,110,LUN À VEN 18 h 30 - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-SU,125,LUN À VEN 18 h 30 - 21 h SAM 9 h - 18 h DIM 13 h - 18 h
CH-SV,28,LUN À VEN 15 h 30 - 21 h SAM 9 h - 18 h DIM 13 h - 18 
CH-SV,125,LUN À VEN 15 h 30 - 21 h SAM 9 h - 18 h DIM 13 h - 18 
CH-SV,246,LUN À VEN 15 h 30 - 21 h SAM 9 h - 18 h DIM 13 h - 18 
CH-SW,28,LUN À VEN 10 h - 21 h SAM 9 h 18 h DIM 13 h 18 h
CH-SW,125,LUN À VEN 10 h - 21 h SAM 9 h 18 h DIM 13 h 18 h
CH-SW,300,LUN À VEN 10 h - 21 h SAM 9 h 18 h DIM 13 h 18 h
CH-SX,108,LUN À VEN 9 h - 21 h SAM et DIM 9 h - 18 h
CH-SX,332,LUN À VEN 9 h - 21 h SAM et DIM 9 h - 18 h
CH-SY,108,LUN À VEN 11 h - 21 h SAM et DIM 9 h - 18 h
CH-SY,332,LUN À VEN 11 h - 21 h SAM et DIM 9 h - 18 h
CH-SZ,236,LUN À VEN 15 h - 21 h SAM et DIM 9 h - 18 h
CH-SZ,332,LUN À VEN 15 h - 21 h SAM et DIM 9 h - 18 h
CH-TA,28,LUN À VEN 14 h - 21 h SAM 9 h - 18h DIM 13 h - 18 h
CH-TA,125,LUN À VEN 14 h - 21 h SAM 9 h - 18h DIM 13 h - 18 h
CH-TA,297,LUN À VEN 14 h - 21 h SAM 9 h - 18h DIM 13 h - 18 h
CH-TC,108,LUN À VEN 9 h  - 21 h
CH-TD,28,LUN À VEN 19 h - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-TD,121,LUN À VEN 19 h - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-TD,125,LUN À VEN 19 h - 21 h  SAM 9 h - 18 h DIM 13 h - 18 h
CH-TE,111,LUN À VEN 9 h 30 - 21 h
CH-TM,28,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TM,67,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TM,109,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TM,125,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h DIM 13 h - 18 h
CH-TN,28,SAM 9 h 18 h DIM 13 h - 18 h
CH-TN,125,SAM 9 h 18 h DIM 13 h - 18 h
