sCode,noPeriode,sDescription
SH-DH,28,LUN À VEN 16h - 21h SAM 9h - 18h
SH-DH,104,LUN À VEN 16h - 21h SAM 9h - 18h
SH-DI,28,LUN À VEN 10 h  - 15 h 18 h - 21 h SAM 9 h 18 h
SH-DI,109,LUN À VEN 10 h  - 15 h 18 h - 21 h SAM 9 h 18 h
SH-DI,1366,LUN À VEN 10 h  - 15 h 18 h - 21 h SAM 9 h 18 h
SH-PD,28,LUN À VEN 18 h - 21 h  SAM 9 h  - 18 h
SH-PD,109,LUN À VEN 18 h - 21 h  SAM 9 h  - 18 h
SH-QE,28,LUN À VEN 12 h - 21 h SAM 9 h 18 h
SH-QE,115,LUN À VEN 12 h - 21 h SAM 9 h 18 h
SH-QT,28,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h
SH-QT,31,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h
SH-QT,110,LUN À VEN 9 h - 15 h 30 18 h 30 - 21 h SAM 9 h 18 h
SH-SD,28,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h
SH-SD,67,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h
SH-SD,109,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h 18 h
SH-SR,28,LUN À VEN 10 h - 15 h et 19 h - 21 h SAM 9 h - 18 h
SH-SR,121,LUN À VEN 10 h - 15 h et 19 h - 21 h SAM 9 h - 18 h
SH-SR,1366,LUN À VEN 10 h - 15 h et 19 h - 21 h SAM 9 h - 18 h
SH-TZ,28,LUN À VEN 10 h -14 h et 16 h - 21 h SAM 9 h 18 h
SH-TZ,104,LUN À VEN 10 h -14 h et 16 h - 21 h SAM 9 h 18 h
SH-TZ,196,LUN À VEN 10 h -14 h et 16 h - 21 h SAM 9 h 18 h
SH-UA,28,LUN À VEN 17 h - 21 h SAM 9 h - 18 h
SH-UA,114,LUN À VEN 17 h - 21 h SAM 9 h - 18 h
SH-UB,121,LUN À VEN 19 h - 21 h
SH-UC,28,LUN À VEN 12 h - 18 h SAM 9 h 18 h
SH-UC,1391,LUN À VEN 12 h - 18 h SAM 9 h 18 h
SH-UD,114,LUN À VEN 17h à 21h
SH-UE,1494,LUN à VEN 20 h - 21 h
SH-UF,28,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h - 18 h
SH-UF,67,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h - 18 h
SH-UF,109,LUN À VEN 9 h 30 - 15 h 18 h - 21 h SAM 9 h - 18 h
SH-UW,28,LUN À JEU 10 h 30 - 14 h et 16 h 30 - 21 h VEN 10 h - 12 h et 14 h - 21 h  SAM 9 h - 18 h
SH-UW,200,LUN À JEU 10 h 30 - 14 h et 16 h 30 - 21 h VEN 10 h - 12 h et 14 h - 21 h  SAM 9 h - 18 h
SH-UW,1369,LUN À JEU 10 h 30 - 14 h et 16 h 30 - 21 h VEN 10 h - 12 h et 14 h - 21 h  SAM 9 h - 18 h
SH-UW,1455,LUN À JEU 10 h 30 - 14 h et 16 h 30 - 21 h VEN 10 h - 12 h et 14 h - 21 h  SAM 9 h - 18 h
SH-UW,1456,LUN À JEU 10 h 30 - 14 h et 16 h 30 - 21 h VEN 10 h - 12 h et 14 h - 21 h  SAM 9 h - 18 h
SI-AA,37,ARRET INT. 7 h - 9 h 30 LUN À VEN
SI-AB,38,ARRET INT.  8 h - 9 h 30 LUN À VEN
SI-AC,232,STAT. INT. EXCEPTÉ LIVR. 6h 7 h 8 h ou 9 h - 12 h LUN À VEN\P  EXCEPTÉ LIVRAISON 8 h - 12 h LUN À VEN
SI-AE,40,ARRET INT. 7 h 30 - 9 h 30 LUN À VEN
SI-AF,41,STAT. INT. EXCEPTÉ DÉB. 18 h - 24 h
SI-AK,38,STAT. INT. 7 h ou 8 h - 9 h 30 LUN À VEN
SI-AV,45,STAT. INT. EXCEPTÉ LIVR. 7h ou 8h ou 9h - 11h LUN À VEN
SI-AY,288,STAT. INT. 8 h ou 9 h - 15 h 30 LUN AU VEN
SI-AZ,62,P15 min DÉB. 7 h - 10 h et 15 h 30 - 18 h  LUN À VEN
SI-AZ,194,P15 min DÉB. 7 h - 10 h et 15 h 30 - 18 h  LUN À VEN
SI-BA,1381,ARRÊT INT. 5 h 30 - 21 h 30 LUN À VEN
SI-BB,1420,P 15 min  9 h - 19 h 7 jours / 7
SI-BC,1421,P 15 min  7 h - 18 h 7 jours / 7
SI-BD,1493,P 15 MIN  8 h - 20 h 7 jours / 7
SI-DA,46,P 15 min DÉB. 7 h - 9 h et 16 h - 18 h LUN À VEN
SI-DA,47,P 15 min DÉB. 7 h - 9 h et 16 h - 18 h LUN À VEN
SI-DB,37,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DB,62,P 15 min DÉB. 7 h -9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DC,40,P 15 min DÉB. 7 h 30 - 9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DC,62,P 15 min DÉB. 7 h 30 - 9 h 30 et 15 h 30 - 18 h LUN À VEN
SI-DE,37,P 15 min DÉB. 7 h - 9 h 30 LUN À VEN
SI-DF,62,P 15 min DÉB. 15 h 30 - 18 h LUN À VENP 15 min DÉB. 15 h 30 - 18 h LUN À VEN
SI-DI,175,P 15 min DÉB. 7 h  - 10 h et 15 h - 18 h LUN À VEN
SI-DI,194,P 15 min DÉB. 7 h  - 10 h et 15 h - 18 h LUN À VEN
SI-DL,48,ARRET INT. 16 h - 18 h 30 LUN À VEN 01/11 AU 31/12
SI-DM,48,ARRET INT. 16 h - 18 h 30 LUN À VEN 01/01 AU 31/03
SI-DN,100,P15min DÉB. 7 h - 9 h LUN À VEN 01 sept au 31 déc
SI-DO,100,P15min DÉB. 7 h -9 h LUN À VEN 01 jan au 30 juin
SI-DP,1371,STAT. INT. EXCEPTÉ PERMIS MENSUELS 6 h - 17 h LUN À VEN
SI-DQ,174,STAT. INT. EN TOUT TEMPS - 1 AVRIL AU 31 OCT (saisonnier)
SI-DS,174,STAT. INT. EN TOUT TEMPS - 1 AVRIL AU 15 OCT (saisonnier)
SI-DV,1371,STAT. INT. EXCEPTÉ PERMIS MENSUELS 6 h - 17 h L à V.
SI-DW,1436,STAT. INT. 7 h ou 8 h ou 9 h - 17 h
SI-DX,265,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 30 juin
SI-DX,1370,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 30 juin
SI-DX,1452,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 30 juin
SI-DX,1453,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 30 juin
SI-DY,265,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 30 juin
SI-DY,1370,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 30 juin
SI-DY,1452,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 30 juin
SI-DY,1453,STAT. INT. 8h30 - 10h30 et 14h - 16h30 LUN - JEU 8h30 - 10h et 12h - 14h VEN 01 sept. au 30 juin
SI-DZ,203,STAT. INT. 7 h ou 8 h ou 9 h - 17 h LUN À VEN 01 juillet au 31 août
SI-EA,1514,STAT. INT. EXCEPTÉ LIVR. 8 h 30 - 10 h LUN À VEN
SI-EB,1515,STAT. INT. EXCEPTÉ AUTOBUS. 8 h 30 - 15 h 30 LUN À VEN
SI-EC,1516,STAT. INT. Débarcadère. 15 mins 6 h - 18 h LUN À VEN
SI-ED,108,STAT. INT. Livraison 9 h - 21 h LUN À VEN
SI-EF,1547,STAT. INT. 5 h - 9 h 7jrs/7 EXCEPTÉ LIVRAISON
SI-MA,78,STAT. INT. 8 h - 9 h LUN À VEN
SI-MB,1399,ARRET INT. 6 h ou 6 h 30 - 9 h LUN À VEN
SI-MC,181,STAT. INT. 7h - 18h LUN à VEN EXCEPTÉ  LIVRAISON
SI-NA,56,STAT. INT. 17 h - 9 h
SI-NA,101,STAT. INT. 17 h - 9 h
SI-NC,109,STAT. INT. 18 h - 21 h LUN À VEN
SI-NE,1416,STAT. INT. 0 h - 24 h SAM et DIM
SI-NF,1417,P 15 min DÉB 9 h - 18 h
SI-NG,54,STAT. INT. 13h - 17 h LUN À VEN
SI-NQ,1444,STAT. INT. 10 h - 14 h 30 LUN À VEN
SI-NR,1448,STAT. INT.19 h 30 - 24 h
SI-NT,1436,STAT. INT. 9  h - 17 h tous les jours excepté livraison
SI-NU,296,STAT. INT. EXCEPTÉ DÉB. 15 min 14h - 16h LUN à VEN du 1 sept au 30 juin
SI-PA,52,STAT. INT. EXCEPTÉ PERMIS 18 h - 23 h
SI-PB,53,ARRET INT. 15 h 30 - 17 h 30 LUN À VEN
SI-PC,54,STAT. INT. EXCEPTÉ LIVR. 13 h - 17 h LUN À VEN 
SI-PD,1542,STAT. INT. EXCEPTÉ LIVR. 8 h - 17 h LUN À VEN
SI-PE,47,ARRET INT. 16 h -18 h LUN À VEN
SI-PG,41,STAT. INT. 18 h - 24 h
SI-PH,1451,STAT. INT. EXCEPTÉ LIVR. 9 h - 17 h
SI-PI,41,STAT. INT. EXCEPTÉ AUTOBUS 18 h - 24 h
SI-PJ,56,STAT. INT. 17 h - 24 h
SI-PK,260,STAT. INT. 9 h - 17 h LUN À VEN EXCEPTÉ LIVRAISON
SI-PM,159,STAT. INT. 18 h - 23 h  LUN À VEN
SI-PO,285,STAT. INT. 9 h - 13 h LUN À SAM
SI-PP,203,P 15 min DÉB 8 h - 17 h LUN À VEN sept. à juin
SI-PQ,203,P 15 min DÉB 8 h - 17 h LUN À VEN sept. à juin
SI-PT,40,P 15 min DÉB. 7 h 30 - 9 h 30 et 16 h - 18 h LUN À VEN
SI-PT,47,P 15 min DÉB. 7 h 30 - 9 h 30 et 16 h - 18 h LUN À VEN
SI-PU,124,ARRÊT INT. 6 h - 10 h LUN À VEN
SI-PV,138,P 15 min DÉB 7 h ou 8 h ou 9 h - 16 h LUN À VEN
SI-PX,37,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PX,175,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PY,37,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PY,175,P 15 min DÉB 7 h - 9 h 30 15 h - 18 h LUN À VEN sept. à juin
SI-PZ,79,STAT. INT. 21 h - 8 h 30 LUN AU DIM
SI-PZ,306,STAT. INT. 21 h - 8 h 30 LUN AU DIM
SI-QA,40,P 15 min DÉB 7h-9h30 15h-18h LUN à VEN août à juin
SI-QA,175,P 15 min DÉB 7h-9h30 15h-18h LUN à VEN août à juin
SI-QC,1435,STAT. INT. 12 h - 17 h LUN À VEN
SI-QF,37,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN
SI-QF,58,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN
SI-QG,46,ARRET INT. 7 h - 9 h LUN À VEN
SI-QN,57,ARRET INT. 6 h 30 - 9 h 30 LUN À VEN
SI-QO,58,ARRET INT. 15 h 30 - 18 h 30 LUN À VEN
SI-QP,57,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN
SI-QP,58,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN
SI-QS,59,STAT. INT. EXCEPTÉ DÉB. 18 h 30 - 24 h
SI-QY,38,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
SI-QY,47,ARRET INT. 8 h - 9 h 30 et 16 h - 18 h LUN À VEN
SI-RB,37,ARRET INT. 7 h - 9 h 30 et 15 h - 18 h 30 LUN À VEN
SI-RB,80,ARRET INT. 7 h - 9 h 30 et 15 h - 18 h 30 LUN À VEN
SI-RD,40,P 15 min.  Débarcadère 7h30-9h30 et 15h-18h Lun au Ven
SI-RD,175,P 15 min.  Débarcadère 7h30-9h30 et 15h-18h Lun au Ven
SI-RE,1474,ARRET INT. 8 h - 9 h 30 LUN À VEN
SI-RG,48,ARRET INT. 16 h - 18 h 30 LUN À VEN
SI-RP,119,STAT. INT. EXCEPTÉ DÉB. 13 h - 16 h
SI-RT,99,P 15 min DÉB 8 h - 15 h LUN À VEN
SI-RX,138,STAT.INT. EXCEPTÉ DÉBARCADÈRE HANDICAPÉ 8h-16h LUN. À VEN.
SI-RY,107,STAT. INT. 19 h - 7 h
SI-RY,1414,STAT. INT. 19 h - 7 h
SI-RZ,138,STAT. INT. 7 h ou 8 h - 16 h LUN À VEN EXCEPTÉ LIVRAISON
SI-SD,37,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
SI-SD,175,P 15 min.  Débarcadère 7h-9h30 et 15h-18h Lun au Ven
SI-SE,181,P 15 min Déb. 7 h ou 8 h  ou 9 h - 18 h LUN À VEN
SI-SF,182,STAT. INT. 7h ou 8 h ou 9h - 18 h LUN À SAM
SI-SG,184,STAT. INT. 8 h - 16 h LUN À SAM
SI-SH,47,STAT. INT. 7 h - 9 h ET 16 h - 18 h LUN À VEN
SI-SH,100,STAT. INT. 7 h - 9 h ET 16 h - 18 h LUN À VEN
SI-SJ,41,STAT. INT. EXCEPTÉ DÉB. 18 h - 00h - 3 h
SI-SK,230,STAT. INT. 7 h ou 8 h - 17 h LUN À SAM
SI-SL,33,STAT. INT. 9 h 30 - 16 h LUN À VEN
SI-SN,80,ARRET INT. 6 h - 9 h et 15 h - 18 h 30 LUN À VEN
SI-SN,179,ARRET INT. 6 h - 9 h et 15 h - 18 h 30 LUN À VEN
SI-SR,203,STAT. INT. 7 h 8 h ou 9 h  - 17 h LUN À VEN
SI-SS,212,STAT. INT. EXCEPTÉ DÉB. 9 h - 21 h DIM
SI-ST,218,STAT INT EXCEPTÉ LIVRAISON 9 h - 12 h
SI-SU,100,ARRET INT. 7 h 30 - 9 h LUN À VEN
SI-SV,48,P 15 min DÉB. 7 h 30 -9 h et 16 h - 18 h 30 LUN À VEN
SI-SV,78,P 15 min DÉB. 7 h 30 -9 h et 16 h - 18 h 30 LUN À VEN
SI-SX,138,STAT. INT. 8h ou 9 h à 16 h LUN À VEN
SI-SY,232,STAT. INT. 6 h à 12 h LUN À VEN
SI-SZ,41,STAT. INT. 18  h - 7 h
SI-TC,99,STAT. INT. 7h  ou 8 h ou 9 h à 15 h LUN À VEN
SI-TD,240,STAT. INT. 8  h 30 - 15 h LUN À VEN
SI-TF,203,ARRÊT INT.  LUN À VEN 8 h - 17 h 15 AOÛT au 31 déc ++++
SI-TG,179,ARRET INT. 6 h - 9 h  LUN À VEN
SI-TI,203,ARRÊT INT.  LUN À VEN 8 h - 17 h 1 JAN au 23 JUIN
SI-TJ,27,STAT. INT. 9  h 30 - 15 h 30 LUN À VEN
SI-TK,248,STAT. INT. 6 h - 19 h LUN À VEN
SI-TM,181,STAT. INT. 7h ou 8 h ou 9 h - 18 h LUN À VEN
SI-TN,33,STAT. INT. 9 h 30 - 16 h LUN À VEN
SI-TO,33,STAT. INT. 9 h 30 - 16 h LUN À VEN
SI-TQ,82,STAT. INT. 9 h 30 - 18 h LUN À VEN
SI-TR,255,STAT. INT. 11 h - 14 LUN À VEN
SI-TS,257,STAT. INT. 7 h - 15 h 30 LUN À SAM
SI-TU,237,ARRET INT. 15 h - 19 h LUN À VEN
SI-TV,1400,STAT. INT. 7 h - 14 h MAR 7 h - 11 h MER
SI-TV,1401,STAT. INT. 7 h - 14 h MAR 7 h - 11 h MER
SI-TX,182,P 15  min Débarcadère 7h ou 8h - 18h LUN À SAM
SI-TY,295,STAT. INT. 8 h - 14 h LUN À VEN
SI-TZ,194,STAT. INT. 8 h 10 h et 14 h - 16 h LUN À VEN
SI-TZ,296,STAT. INT. 8 h 10 h et 14 h - 16 h LUN À VEN
SI-UA,308,STAT. INT. 18 h - 21 h
SI-UB,309,P 15  min Débarcadère 7h - 18h 30 LUN À VEN
SI-UC,203,ARRÊT INT. 8h - 17h LUN à VEN sept à juin
SI-UD,203,ARRÊT INT. 8h - 17h LUN à VEN sept à juin
SI-UE,260,STAT. INT. 7 h ou 8 h ou 9 h - 17 h LUN à VEN EXCEPTÉ LIVRAISON
SI-UF,316,STAT. INT. 9 h 30 - 13 h 30 LUN À VEN
SI-UH,180,ARRÊT INT. EXCEPTÉ AUTOBUS 15H30 -19h LUN À VEN
SI-UI,324,STAT. INT. 8 h 30 - 15 h LUN et MER et VEN
SI-UJ,325,STAT. INT. 10 h - 16 h LUN et MER et VEN
SI-UO,98,STAT. INT.  EXCEPTÉ LIVRAISON 7H - 13H LUN À VEN
SI-UP,37,ARRÊT INT. EXCEPTÉ BUS 7h-9h30 et 14h30-18h30  LUN à VEN sept à juin
SI-UP,186,ARRÊT INT. EXCEPTÉ BUS 7h-9h30 et 14h30-18h30  LUN à VEN sept à juin
SI-UQ,37,ARRÊT INT. EXCEPTÉ BUS 7h-9h30 et 14h30-18h30  LUN à VEN sept à juin
SI-UQ,186,ARRÊT INT. EXCEPTÉ BUS 7h-9h30 et 14h30-18h30  LUN à VEN sept à juin
SI-US,101,STAT. INT. EXCEPTÉ BUS 7h - 9h 1 mai au 1 oct
SI-UT,124,STAT. INT. EXCEPTÉ BUS 6h - 10h et 15h -19h LUN À VEN
SI-UT,237,STAT. INT. EXCEPTÉ BUS 6h - 10h et 15h -19h LUN À VEN
SI-UX,296,STAT. INT. EXCEPTÉ DÉB. 15 min 14h - 16h LUN à VEN du 1 sept au 30 juin
SI-UZ,296,P 15  min Débarcadère 9h30 - 10h30 et 14h - 16h LUN À VEN
SI-UZ,1355,P 15  min Débarcadère 9h30 - 10h30 et 14h - 16h LUN À VEN
SI-WA,304,ARRÊT INTERDIT 14h - 19h LUN à DIM 7 jours (travaux L-H)
SI-WA,1488,ARRÊT INTERDIT 14h - 19h LUN à DIM 7 jours (travaux L-H)
SI-WB,175,P 15 min DÉB. 6h -9 h et 15 h - 18 h LUN À VEN
SI-WB,179,P 15 min DÉB. 6h -9 h et 15 h - 18 h LUN À VEN
SI-WC,1366,STAT. INT. 10 h - 15h  LUN À VEN (Zone livraison)
SP-AA,25,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
SP-AA,26,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
SP-AA,28,LUN ET MAR ET MER ET SAM 9 h - 18 h JEU ET VEN 9 h - 21 h
SP-AC,34,LUN À SAM 9 h - 18 h
SP-AE,28,LUN ET MAR ET MER 17h -18h  JEU ET VEN 17h -21h SAM 9 h - 18 h
SP-AE,70,LUN ET MAR ET MER 17h -18h  JEU ET VEN 17h -21h SAM 9 h - 18 h
SP-AE,1503,LUN ET MAR ET MER 17h -18h  JEU ET VEN 17h -21h SAM 9 h - 18 h
SP-AJ,27,LUN ET MAR ET MER 9 h 30 - 15 h 30 JEU ET VEN 9 h 30 - 15 h 30 et 18 h - 21 h SAM 9 h - 18 h
SP-AJ,28,LUN ET MAR ET MER 9 h 30 - 15 h 30 JEU ET VEN 9 h 30 - 15 h 30 et 18 h - 21 h SAM 9 h - 18 h
SP-AJ,35,LUN ET MAR ET MER 9 h 30 - 15 h 30 JEU ET VEN 9 h 30 - 15 h 30 et 18 h - 21 h SAM 9 h - 18 h
SP-AK,28,LUN ET MAR ET MER 9 h 30 - 18 h JEU ET VEN 9 h 30 - 21 h SAM 9 h - 18 h
SP-AK,49,LUN ET MAR ET MER 9 h 30 - 18 h JEU ET VEN 9 h 30 - 21 h SAM 9 h - 18 h
SP-AK,50,LUN ET MAR ET MER 9 h 30 - 18 h JEU ET VEN 9 h 30 - 21 h SAM 9 h - 18 h
SP-BE,64,LUN À SAM 9 h - 17 h
SP-QX,320,LUN et MER 15 h - 18 h MAR et SAM 9 h - 18 h  JEU 9 h - 21 h VEN 15 h - 21 h
SP-QX,322,LUN et MER 15 h - 18 h MAR et SAM 9 h - 18 h  JEU 9 h - 21 h VEN 15 h - 21 h
SP-QX,326,LUN et MER 15 h - 18 h MAR et SAM 9 h - 18 h  JEU 9 h - 21 h VEN 15 h - 21 h
SP-QX,328,LUN et MER 15 h - 18 h MAR et SAM 9 h - 18 h  JEU 9 h - 21 h VEN 15 h - 21 h
SP-QY,321,LUN et MER 16 h - 18 h  MAR et SAM 9 h - 18 h JEU 9 h - 21 h VEN 16 h - 21 h
SP-QY,323,LUN et MER 16 h - 18 h  MAR et SAM 9 h - 18 h JEU 9 h - 21 h VEN 16 h - 21 h
SP-QY,326,LUN et MER 16 h - 18 h  MAR et SAM 9 h - 18 h JEU 9 h - 21 h VEN 16 h - 21 h
SP-QY,328,LUN et MER 16 h - 18 h  MAR et SAM 9 h - 18 h JEU 9 h - 21 h VEN 16 h - 21 h
SP-RD,28,LUN ET MAR ET MER 9 h 30 - 15 h JEU ET VEN 9 h 30 - 15 h ET 18 h - 21 h SAM 9 h 18 h
SP-RD,35,LUN ET MAR ET MER 9 h 30 - 15 h JEU ET VEN 9 h 30 - 15 h ET 18 h - 21 h SAM 9 h 18 h
SP-RD,67,LUN ET MAR ET MER 9 h 30 - 15 h JEU ET VEN 9 h 30 - 15 h ET 18 h - 21 h SAM 9 h 18 h
SR-AA,37,ARRET INT. 7 h - 9 h 30 LUN À VEN AVEC REMORQUAGE
SR-AW,60,ARRET INT. 6 h - 9 h 30 LUN À VEN AVEC REMORQUAGE
SR-AY,60,ARRET INT. 6 h - 9 h 30 LUN À VEN  AVEC REMORQUAGE
SR-MC,124,ARRET INT. 6h - 10 h ET 14h30 - 19h30 LUN À VEN AVEC REMORQUAGE
SR-MC,1443,ARRET INT. 6h - 10 h ET 14h30 - 19h30 LUN À VEN AVEC REMORQUAGE
SR-PB,53,ARRET INT. 15 h 30 - 17 h 30 LUN À VEN AVEC REMORQUAGE
SR-QF,37,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
SR-QF,58,ARRET INT. 7 h - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
SR-QN,57,ARRET INT. 6 h 30 - 9 h 30 LUN À VEN. AVEC REMORQUAGE
SR-QO,58,ARRET INT. 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
SR-QP,57,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
SR-QP,58,ARRET INT. 6 h 30 - 9 h 30 et 15 h 30 - 18 h 30 LUN À VEN AVEC REMORQUAGE
SR-RN,80,ARRET INT. 15 h - 18 h 30 LUN À VEN AVEC  REMORQUAGE
SR-RQ,122,ARRET. INT. EXCEPTÉ AUTOBUS 14 h 30 - 19 h  LUN - VEN AVEC REMORQUAGE
SR-SI,186,ARRET INT. 5 h  30 - 9 h 30 et 14 h 30 - 18 h 30 LUN À VEN  AVEC REMORQUAGE
SR-SI,187,ARRET INT. 5 h  30 - 9 h 30 et 14 h 30 - 18 h 30 LUN À VEN  AVEC REMORQUAGE
SR-SK,186,ARRET INT. 14 h 30 - 18 h 30 LUN À VEN  AVEC REMORQUAGE
UT-24,1472,LUN-VEN 24h (test GTR)
UT-AA,259,LUN-VEN 9h - 18h (test GTR)
UT-AB,1471,LUN-VEN 9h - 20h (test GTR)
XX-01,174,Stationnement GRATUIT (24 décembre au 26 décembre) OUT
XX-02,174,Stationnement GRATUIT (31 décembre) OUT
XX-03,174,Stationnement GRATUIT (1 et 2 janvier) OUT
XX-04,174,Stationnement GRATUIT (LUNDI DE PÂQUES 2024) OUT
XX-05,174,Stationnement GRATUIT (FÊTE PATRIOTES 2023) OUT
XX-06,174,Stationnement GRATUIT (24 JUIN - ST-JEAN-B.) OUT
XX-07,174,Stationnement GRATUIT (1 JUILLET - FÊTE CANADA) OUT
XX-08,174,Stationnement GRATUIT (FÊTE DU TRAVAIL 2023) OUT
XX-09,174,Stationnement GRATUIT (ACTION DE GRÂCE 2023) OUT
XX-12,162,Stationnement GRATUIT LACHINE-  9 septembre 2023  (aussi utilisé oct 2018 à mai 2019 + 3 août au 16 sept + le 29 juillet et 15 juin 2018 + 13 juillet 2019)
ZU-01,1496,STAT. INT 21h-22h LUN à SAM (TEST) 
ZU-02,1498,STAT. INT. 5h - 7h LUN à DIM 1 avril au 1 déc.
ZU-03,1499,STAT. INT. 6h - 7h LUN à DIM 1 avril au 1 déc.
ZU-04,1500,STAT. INT. 6h - 7h LUN à VEN 1 avril au 1 déc.
ZU-05,1501,STAT. INT. 6h - 7h LUN et JEU 1 avril au 1 déc.
ZV-01,291,STAT. INT. 7 h 30 - 9 h 30 MAR 01 avril au 14 nov
ZV-03,193,STAT. INT. 4 h - 9 h  LUN et JEU 01 nov au 31 déc
ZV-04,193,STAT. INT. 4 h - 9 h LUN et JEU 01 jan au 31 mars
ZV-05,193,STAT. INT. 4 h - 9 h MAR et VEN 01 1er nov au 31 déc
ZV-06,193,STAT. INT. 4 h - 9 h MAR et VEN 01 jan au 31 mars
ZV-20,225,STAT. INT. 10 h - 12 h MAR 01 avril au 14 nov
ZV-37,96,STAT. INT. 7 h - 8 h 30 LUN et MER et VEN 01 avril au 14 nov
ZV-38,1426,STAT. INT. 7 h - 8 h 30 MAR et JEU 01 avril au 14 nov
ZV-39,1507,STAT. INT. 6 h 30 - 7 h 30 LUN 01 avril au 01 décembre
ZV-40,126,STAT. INT. 7 h - 9 h JEU 01 avril au 14 novembre
ZV-41,134,STAT. INT. 7 h - 9 h MER 01 avril au 14 nov
ZV-42,105,STAT. INT. 7 h - 9  h MAR 01 avril au 14 nov
ZV-43,1540,STAT. INT. 8 h - 11 h VEN 01 avril au 14 nov
ZV-44,1541,STAT. INT. 8 h - 11 h JEU 01 avril au 14 nov
ZV-45,161,STAT. INT. 7 h - 9 h LUN 01 avril au 14 nov
ZV-46,163,STAT. INT. 7 h - 9 h VEN 01 avril au 14 nov
ZV-47,1509,STAT. INT. 10h30 - 13h30 VEN 01 avril au 14 nov
ZV-48,1374,STAT. INT. 12 h30 - 15 30h LUN 01 avril au 14 nov
ZV-49,1510,STAT. INT. 12h30 - 15h30 JEU 01 avril au 14 nov
ZV-50,1511,STAT. INT. 12h30 - 15h30 VEN 01 avril au 14 nov
ZV-51,1513,STAT. INT. 10h30 - 13h30 JEU 01 avril au 14 nov
ZV-53,1509,STAT. INT. 10 h 30 - 13 h 30 VEN 01 avril au 14 nov
ZV-54,1513,STAT. INT. 10 h 30 - 13 h 30 JEU 01 avril au 14 nov
ZV-55,1426,STAT. INT. 7 h - 8 h 30 MAR et JEU 01 avril au 14 nov
ZV-56,1533,STAT. INT. 10 h 30 - 13 h 30 MER 01 avril au 14 nov
ZV-57,1539,STAT. INT. 8 h - 11 h MER 01 avril au 14 nov
ZV-58,302,STAT. INT. 7 h - 8 h 30 VEN 01 avril au 14 nov
ZV-59,95,STAT. INT. 7 h - 8 h 30 LUN 01 avril au 14 nov
ZV-60,1535,STAT. INT. 8h30-10h30 JEU 01avril au 01 déc
ZV-61,1537,STAT. INT. 16h30-17h30 LUN et JEU 1 avril--1 déc.
ZV-62,1543,STAT. INT. 22 h - 23 h MAR et VEN 01 avril au 01 déc
